State,Capital city,Second city,Third city,Statehood,Capital since,Size rank
Alabama,Montgomery,Charleston,Trenton,1819,1846,2
Alaska,Juneau,Madison,Santa Fe,1959,1906,3
Arizona,Phoenix,Cheyenne,Albany,1912,1889,1
Arkansas,Little Rock,Montgomery,Raleigh,1836,1821,1
California,Sacramento,Juneau,Bismarck,1850,1854,6
Colorado,Denver,Phoenix,Columbus,1876,1867,1
Connecticut,Hartford,Little Rock,Oklahoma City,1788,1875,3
Delaware,Dover,Sacramento,Salem,1787,1777,2
Florida,Tallahassee,Denver,Harrisburg,1845,1824,7
Georgia,Atlanta,Hartford,Providence,1788,1868,1
Hawaii,Honolulu,Dover,Columbia,1959,1845,1
Idaho,Boise,Tallahassee,Pierre,1890,1865,1
Illinois,Springfield,Atlanta,Nashville,1818,1837,6
Indiana,Indianapolis,Honolulu,Austin,1816,1825,1
Iowa,Des Moines,Boise,Salt Lake City,1846,1857,1
Kansas,Topeka,Springfield,Montpelier,1861,1856,4
Kentucky,Frankfort,Indianapolis,Richmond,1792,1792,14
Louisiana,Baton Rouge,Des Moines,Olympia,1812,1880,2
Maine,Augusta,Topeka,Charleston,1820,1832,8
Maryland,Annapolis,Frankfort,Madison,1788,1694,7
Massachusetts,Boston,Baton Rouge,Cheyenne,1788,1630,1
Michigan,Lansing,Augusta,Montgomery,1837,1847,5
Minnesota,Saint Paul,Annapolis,Juneau,1858,1849,2
Mississippi,Jackson,Boston,Phoenix,1817,1821,1
Missouri,Jefferson City,Lansing,Little Rock,1821,1826,15
Montana,Helena,Saint Paul,Sacramento,1889,1875,6
Nebraska,Lincoln,Jackson,Denver,1867,1867,2
Nevada,Carson City,Jefferson City,Hartford,1864,1861,6
New Hampshire,Concord,Helena,Dover,1788,1808,3
New Jersey,Trenton,Lincoln,Tallahassee,1787,1784,10
New Mexico,Santa Fe,Carson City,Atlanta,1912,1610,4
New York,Albany,Concord,Honolulu,1788,1797,6
North Carolina,Raleigh,Trenton,Boise,1789,1792,2
North Dakota,Bismarck,Santa Fe,Springfield,1889,1883,2
Ohio,Columbus,Albany,Indianapolis,1803,1816,1
Oklahoma,Oklahoma City,Raleigh,Des Moines,1907,1910,1
Oregon,Salem,Bismarck,Topeka,1859,1855,3
Pennsylvania,Harrisburg,Columbus,Frankfort,1787,1812,9
Rhode Island,Providence,Oklahoma City,Baton Rouge,1790,1900,1
South Carolina,Columbia,Salem,Augusta,1788,1786,2
South Dakota,Pierre,Harrisburg,Annapolis,1889,1889,8
Tennessee,Nashville,Providence,Boston,1796,1826,1
Texas,Austin,Columbia,Lansing,1845,1839,4
Utah,Salt Lake City,Pierre,Saint Paul,1896,1858,1
Vermont,Montpelier,Nashville,Jackson,1791,1805,6
Virginia,Richmond,Austin,Jefferson City,1788,1780,4
Washington,Olympia,Salt Lake City,Helena,1889,1853,24
West Virginia,Charleston,Montpelier,Lincoln,1863,1885,1
Wisconsin,Madison,Richmond,Carson City,1848,1838,2
Wyoming,Cheyenne,Olympia,Concord,1890,1869,1
